"Protein.name","Genes","UniProtKB.AC","Search","Path"
"Potassium voltage-gated channel subfamily E member 1B","KCNE1B","A0A087WTH5","potassium voltage-gated channel subfamily e member 1b kcne1b a0a087wth5","data/Array_objects_single_proteins/Array_object_A0A087WTH5.rds"
"Olfactory receptor 4N4C","OR4N4C","A0A096LPK9","olfactory receptor 4n4c or4n4c a0a096lpk9","data/Array_objects_single_proteins/Array_object_A0A096LPK9.rds"
"Protein PIGBOS1 (PIGB opposite strand protein 1)","PIGBOS1","A0A0B4J2F0","protein pigbos1 (pigb opposite strand protein 1) pigbos1 a0a0b4j2f0","data/Array_objects_single_proteins/Array_object_A0A0B4J2F0.rds"
"Transmembrane protein 275","TMEM275","A0A0U1RQS6","transmembrane protein 275 tmem275 a0a0u1rqs6","data/Array_objects_single_proteins/Array_object_A0A0U1RQS6.rds"
"Olfactory receptor 4M2","OR4M2B","A0A0X1KG70","olfactory receptor 4m2 or4m2b a0a0x1kg70","data/Array_objects_single_proteins/Array_object_A0A0X1KG70.rds"
"Transmembrane protein 272","TMEM272","A0A1B0GTI8","transmembrane protein 272 tmem272 a0a1b0gti8","data/Array_objects_single_proteins/Array_object_A0A1B0GTI8.rds"
"Cortexin domain-containing 1","CTXND1","A0A1B0GTU2","cortexin domain-containing 1 ctxnd1 a0a1b0gtu2","data/Array_objects_single_proteins/Array_object_A0A1B0GTU2.rds"
"Leishmanolysin-like peptidase 2 (EC 3.4.24.-)","LMLN2","A0A1B0GTW7","leishmanolysin-like peptidase 2 (ec 3.4.24.-) lmln2 a0a1b0gtw7","data/Array_objects_single_proteins/Array_object_A0A1B0GTW7.rds"
"Testis-expressed protein 50","TEX50","A0A1B0GTY4","testis-expressed protein 50 tex50 a0a1b0gty4","data/Array_objects_single_proteins/Array_object_A0A1B0GTY4.rds"
"Small integral membrane protein 28","SMIM28","A0A1B0GU29","small integral membrane protein 28 smim28 a0a1b0gu29","data/Array_objects_single_proteins/Array_object_A0A1B0GU29.rds"
"Small integral membrane protein 32","SMIM32","A0A1B0GUA5","small integral membrane protein 32 smim32 a0a1b0gua5","data/Array_objects_single_proteins/Array_object_A0A1B0GUA5.rds"
"Uncharacterized protein SPEM3","SPEM3","A0A1B0GUW6","uncharacterized protein spem3 spem3 a0a1b0guw6","data/Array_objects_single_proteins/Array_object_A0A1B0GUW6.rds"
"Reelin domain-containing protein 1","REELD1","A0A1B0GV85","reelin domain-containing protein 1 reeld1 a0a1b0gv85","data/Array_objects_single_proteins/Array_object_A0A1B0GV85.rds"
"Cortexin domain containing 2","CTXND2","A0A1B0GV90","cortexin domain containing 2 ctxnd2 a0a1b0gv90","data/Array_objects_single_proteins/Array_object_A0A1B0GV90.rds"
"Uncharacterized protein C2orf92 (Long intergenic non-protein coding RNA 1125)","C2orf92 LINC01125","A0A1B0GVN3","uncharacterized protein c2orf92 (long intergenic non-protein coding rna 1125) c2orf92 linc01125 a0a1b0gvn3","data/Array_objects_single_proteins/Array_object_A0A1B0GVN3.rds"
"Small regulatory polypeptide of amino acid response","SPAAR LINC00961 SPAR","A0A1B0GVQ0","small regulatory polypeptide of amino acid response spaar linc00961 spar a0a1b0gvq0","data/Array_objects_single_proteins/Array_object_A0A1B0GVQ0.rds"
"Small integral membrane protein 36","SMIM36","A0A1B0GVT2","small integral membrane protein 36 smim36 a0a1b0gvt2","data/Array_objects_single_proteins/Array_object_A0A1B0GVT2.rds"
"Small integral membrane protein 35 (TMPRSS4 antisense RNA 1)","SMIM35 TMPRSS4-AS1","A0A1B0GVV1","small integral membrane protein 35 (tmprss4 antisense rna 1) smim35 tmprss4-as1 a0a1b0gvv1","data/Array_objects_single_proteins/Array_object_A0A1B0GVV1.rds"
